Valid,at,Lon,Lat,Wind,Winddir,Wind-sea,Swell,Swelldir,Swellperiod,SWH,MWH,Current,SST
13-SEP-2024,00,66.00,16.00,19.40,WSW,2.19,0.979,WSW,10.1,2.40,4.56,0.14,27.15
13-SEP-2024,06,66.00,16.00,18.81,WSW,2.26,0.982,WSW,10.1,2.47,4.69,0.24,27.14
13-SEP-2024,12,66.00,16.00,18.06,WSW,2.26,1.028,WSW,10.2,2.48,4.72,0.30,27.16
13-SEP-2024,18,66.00,16.00,17.35,WSW,2.22,1.089,WSW,10.1,2.48,4.71,0.28,27.15
14-SEP-2024,00,66.00,16.00,18.74,WSW,2.24,1.099,WSW,10.1,2.49,4.74,0.30,27.13
14-SEP-2024,06,66.00,16.00,18.31,WSW,2.22,1.103,WSW,10.1,2.48,4.71,0.36,27.12
14-SEP-2024,12,66.00,16.00,19.01,WSW,2.22,1.103,WSW,10.2,2.48,4.71,0.34,27.16
14-SEP-2024,18,66.00,16.00,19.05,WSW,2.24,1.137,WSW,10.2,2.51,4.77,0.18,27.14
15-SEP-2024,00,66.00,16.00,18.51,WSW,2.21,1.194,WSW,10.2,2.51,4.78,0.16,27.12
15-SEP-2024,06,66.00,16.00,17.79,WSW,2.19,1.215,WSW,10.1,2.51,4.77,0.28,27.12
15-SEP-2024,12,66.00,16.00,18.30,WSW,2.16,1.183,WSW,10.1,2.46,4.68,0.46,27.16
13-SEP-2024,00,66.00,16.00,19.40,WSW,2.19,0.979,WSW,10.1,2.40,4.56,0.14,27.15
13-SEP-2024,06,66.00,16.00,18.81,WSW,2.26,0.982,WSW,10.1,2.47,4.69,0.24,27.14
13-SEP-2024,12,66.00,16.00,18.06,WSW,2.26,1.028,WSW,10.2,2.48,4.72,0.30,27.16
13-SEP-2024,18,66.00,16.00,17.35,WSW,2.22,1.089,WSW,10.1,2.48,4.71,0.28,27.15
14-SEP-2024,00,66.00,16.00,18.74,WSW,2.24,1.099,WSW,10.1,2.49,4.74,0.30,27.13
14-SEP-2024,06,66.00,16.00,18.31,WSW,2.22,1.103,WSW,10.1,2.48,4.71,0.36,27.12
14-SEP-2024,12,66.00,16.00,19.01,WSW,2.22,1.103,WSW,10.2,2.48,4.71,0.34,27.16
14-SEP-2024,18,66.00,16.00,19.05,WSW,2.24,1.137,WSW,10.2,2.51,4.77,0.18,27.14
15-SEP-2024,00,66.00,16.00,18.51,WSW,2.21,1.194,WSW,10.2,2.51,4.78,0.16,27.12
15-SEP-2024,06,66.00,16.00,17.79,WSW,2.19,1.215,WSW,10.1,2.51,4.77,0.28,27.12
15-SEP-2024,12,66.00,16.00,18.30,WSW,2.16,1.183,WSW,10.1,2.46,4.68,0.46,27.16
13-SEP-2024,00,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,12,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,18,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,00,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,06,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,12,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,18,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15-SEP-2024,00,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15-SEP-2024,06,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15-SEP-2024,12,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,00,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,12,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,18,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,00,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,06,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,12,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14-SEP-2024,18,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15-SEP-2024,00,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15-SEP-2024,06,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15-SEP-2024,12,79.60,16.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,00,93.20,16.00,15.93,WSW,1.96,0.561,SSW,10.2,2.04,3.87,0.80,28.97
13-SEP-2024,06,93.20,16.00,14.99,WSW,1.83,0.514,SSW,11.9,1.90,3.61,0.87,29.02
13-SEP-2024,12,93.20,16.00,15.45,WSW,1.80,0.494,SSW,11.8,1.87,3.56,0.73,29.07
13-SEP-2024,18,93.20,16.00,15.15,WSW,1.76,0.490,SSW,11.2,1.83,3.48,0.37,29.01
14-SEP-2024,00,93.20,16.00,12.06,WSW,1.75,0.505,SSW,10.8,1.82,3.46,0.41,28.96
14-SEP-2024,06,93.20,16.00,9.690,SSW,1.71,0.543,SSW,14.3,1.79,3.41,0.73,29.02
14-SEP-2024,12,93.20,16.00,17.89,WSW,1.77,0.559,SSW,14.3,1.86,3.54,0.90,29.09
