Valid,at,Lon,Lat,Wind,Winddir,Wind-sea,Swell,Swelldir,Swellperiod,SWH,MWH,Current,SST
13-SEP-2024,00,66.00,24.00,15.44,WSW,1.68,0.911,SSW,10.2,1.91,3.63,0.55,28.66
13-SEP-2024,06,66.00,24.00,14.47,WSW,1.65,0.940,SSW,10.2,1.90,3.61,0.58,28.64
13-SEP-2024,12,66.00,24.00,16.98,WSW,1.71,0.915,SSW,10.1,1.94,3.69,0.38,28.73
13-SEP-2024,18,66.00,24.00,17.05,WSW,1.81,0.916,SSW,10.1,2.03,3.86,0.30,28.67
13-SEP-2024,00,69.40,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,69.40,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,12,69.40,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,18,69.40,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,00,72.80,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,72.80,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,12,72.80,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,18,72.80,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,00,76.20,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,76.20,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,12,76.20,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,18,76.20,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,00,79.60,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,79.60,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,12,79.60,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,18,79.60,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,00,83.00,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13-SEP-2024,06,83.00,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
